Site, Member, Distance, Distance_Value, Duration, Duration_value
4,43,24.7 mi,2808,47 mins,2808
4,44,5.4 mi,1901,32 mins,1901
4,45,4.0 mi,1401,23 mins,1401
4,46,11.4 mi,2550,43 mins,2550
4,47,10.1 mi,2301,38 mins,2301
4,48,16.2 mi,2392,40 mins,2392
4,49,5.4 mi,1619,27 mins,1619
4,50,7.4 mi,1373,23 mins,1373
4,51,3.7 mi,1313,22 mins,1313
4,52,9.0 mi,1716,29 mins,1716
4,53,1.0 mi,418,7 mins,418
4,54,8.1 mi,1545,26 mins,1545
4,55,14.3 mi,2161,36 mins,2161
4,56,19.7 mi,2651,44 mins,2651
4,57,4.1 mi,1291,22 mins,1291
4,58,7.0 mi,2202,37 mins,2202
4,59,42.1 mi,3665,1 hour 1 min,3665
4,60,14.3 mi,2971,50 mins,2971
4,61,7.1 mi,2235,37 mins,2235
4,62,3.2 mi,1141,19 mins,1141
4,63,3.1 mi,1008,17 mins,1008
4,64,8.0 mi,1651,28 mins,1651
4,65,17.8 mi,2525,42 mins,2525
4,66,15.1 mi,2221,37 mins,2221
4,67,12.9 mi,2454,41 mins,2454
4,68,7.4 mi,1840,31 mins,1840
4,69,14.3 mi,2161,36 mins,2161
4,70,4.4 mi,1534,26 mins,1534
4,71,2.7 mi,1012,17 mins,1012
4,72,5.9 mi,1564,26 mins,1564
4,73,12.8 mi,1868,31 mins,1868
4,74,2.4 mi,1013,17 mins,1013
4,75,9.0 mi,1730,29 mins,1730
4,76,4.9 mi,1537,26 mins,1537
4,77,2.6 mi,964,16 mins,964
4,78,5.1 mi,1204,20 mins,1204
4,79,20.0 mi,2535,42 mins,2535
4,80,1.2 mi,509,8 mins,509
4,81,8.2 mi,1583,26 mins,1583
4,82,8.1 mi,1545,26 mins,1545
4,83,13.4 mi,2102,35 mins,2102
4,84,3.0 mi,1097,18 mins,1097
4,85,7.7 mi,1514,25 mins,1514
4,86,14.3 mi,2108,35 mins,2108
4,87,6.0 mi,1823,30 mins,1823
4,88,2.4 mi,845,14 mins,845
4,89,28.7 mi,2999,50 mins,2999
4,90,5.9 mi,1330,22 mins,1330
4,91,14.2 mi,2197,37 mins,2197
4,92,10.9 mi,2176,36 mins,2176
4,93,6.6 mi,1503,25 mins,1503
4,94,11.0 mi,2047,34 mins,2047
4,95,3.5 mi,1051,18 mins,1051
4,96,11.3 mi,1938,32 mins,1938
4,97,11.4 mi,2284,38 mins,2284
4,98,27.1 mi,2874,48 mins,2874
4,99,5.3 mi,1693,28 mins,1693
4,100,11.1 mi,2148,36 mins,2148
4,101,3.7 mi,1227,20 mins,1227
4,102,1.9 mi,719,12 mins,719
4,103,16.2 mi,2447,41 mins,2447
4,104,14.7 mi,3167,53 mins,3167
4,105,2.6 mi,877,15 mins,877
4,106,11.8 mi,2013,34 mins,2013
4,107,12.8 mi,2281,38 mins,2281
4,108,1.5 mi,588,10 mins,588
4,109,9.5 mi,1741,29 mins,1741
4,110,4.2 mi,1415,24 mins,1415
5,1,6.9 mi,978,16 mins,978
5,2,10.7 mi,1627,27 mins,1627
5,3,20.5 mi,2496,42 mins,2496
5,4,1.6 mi,567,9 mins,567
5,5,3.9 mi,864,14 mins,864
5,6,11.7 mi,1906,32 mins,1906
5,7,10.5 mi,1577,26 mins,1577
5,8,11.3 mi,1739,29 mins,1739
5,9,3.4 mi,667,11 mins,667
5,10,22.5 mi,2999,50 mins,2999
5,11,26.9 mi,2238,37 mins,2238
5,12,15.7 mi,1996,33 mins,1996
5,13,21.0 mi,2721,45 mins,2721
5,14,27.0 mi,2914,49 mins,2914
5,15,7.2 mi,1074,18 mins,1074
5,16,12.5 mi,1485,25 mins,1485
5,17,12.6 mi,1548,26 mins,1548
5,18,7.1 mi,1158,19 mins,1158
5,19,16.1 mi,1737,29 mins,1737
5,20,8.4 mi,1366,23 mins,1366
5,21,2.4 mi,903,15 mins,903
5,22,18.4 mi,2031,34 mins,2031
5,23,15.9 mi,1937,32 mins,1937
5,24,5.4 mi,981,16 mins,981
5,25,14.7 mi,2011,34 mins,2011
5,26,13.4 mi,1651,28 mins,1651
